#options: 854x480 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=60 keyint_min=31 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=crf mbtree=1 crf=24.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:94 out:95 type:b dur:2 cpbdur:2 q:30.03 aq:25.73 tex:2908 mv:2297 misc:1131 imb:49 pmb:258 smb:1313 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:30.03 aq:24.09 tex:20601 mv:7875 misc:1236 imb:739 pmb:326 smb:555 d:s ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:30.03 aq:23.27 tex:4776 mv:4152 misc:1344 imb:114 pmb:331 smb:1175 d:s ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:30.03 aq:25.02 tex:2332 mv:2515 misc:1057 imb:46 pmb:251 smb:1323 d:s ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:30.03 aq:24.77 tex:2730 mv:2530 misc:1196 imb:54 pmb:297 smb:1269 d:- ref:0 ;
in:102 out:100 type:P dur:2 cpbdur:2 q:30.03 aq:23.83 tex:18163 mv:7406 misc:1279 imb:653 pmb:361 smb:606 d:s ref:0 ;
in:100 out:101 type:B dur:2 cpbdur:2 q:30.03 aq:25.15 tex:3441 mv:2957 misc:1114 imb:80 pmb:256 smb:1284 d:s ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:30.03 aq:24.23 tex:4058 mv:3378 misc:1236 imb:100 pmb:301 smb:1219 d:- ref:0 ;
in:104 out:103 type:P dur:2 cpbdur:2 q:30.03 aq:23.35 tex:14562 mv:6369 misc:1469 imb:452 pmb:395 smb:773 d:s ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:30.03 aq:25.66 tex:3438 mv:3030 misc:1188 imb:86 pmb:293 smb:1241 d:t ref:0 ;
in:108 out:105 type:P dur:2 cpbdur:2 q:30.03 aq:22.18 tex:18640 mv:8591 misc:1217 imb:804 pmb:415 smb:401 d:s ref:0 ;
in:106 out:106 type:B dur:2 cpbdur:2 q:30.03 aq:22.09 tex:4445 mv:4108 misc:1551 imb:96 pmb:447 smb:1077 d:t ref:0 ;
in:105 out:107 type:b dur:2 cpbdur:2 q:30.03 aq:23.60 tex:3236 mv:3099 misc:1385 imb:101 pmb:352 smb:1167 d:s ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:30.03 aq:22.80 tex:2464 mv:2529 misc:1455 imb:56 pmb:384 smb:1180 d:- ref:0 ;
in:112 out:109 type:P dur:2 cpbdur:2 q:30.03 aq:21.98 tex:17841 mv:9502 misc:993 imb:942 pmb:413 smb:265 d:s ref:0 ;
in:110 out:110 type:B dur:2 cpbdur:2 q:30.03 aq:22.57 tex:4007 mv:4410 misc:1567 imb:79 pmb:463 smb:1078 d:s ref:0 ;
in:109 out:111 type:b dur:2 cpbdur:2 q:30.03 aq:22.38 tex:2100 mv:1941 misc:1271 imb:37 pmb:298 smb:1285 d:s ref:0 ;
in:111 out:112 type:b dur:2 cpbdur:2 q:30.03 aq:22.33 tex:1445 mv:1766 misc:1149 imb:32 pmb:237 smb:1351 d:- ref:0 ;
